,0,columna_limpia
7373,paramount,paramount
7374,group,group
7375,inc,inc
7376,pgre.n,pgre.n
7377,deutsche,deutsche
7378,bank,bank
7379,cuts,cuts
7380,target,target
7381,price,price
7382,to,
7383,from,
7384,paypal,paypal
7385,holdings,holdings
7386,inc,inc
7387,pypl.o,pypl.o
7388,jp,jp
7389,morgan,morgan
7390,cuts,cuts
7391,target,target
7392,price,price
7393,to,
7394,from,
7395,paypal,paypal
7396,holdings,holdings
7397,inc,inc
7398,pypl.o,pypl.o
7399,wells,wells
7400,fargo,fargo
7401,cuts,cuts
7402,target,target
7403,price,price
7404,to,
7405,from,
7406,pdc,pdc
7407,energy,energy
7408,inc,inc
7409,pdce.o,pdce.o
7410,mkm,mkm
7411,partners,partners
7412,assumes,assumes
7413,coverage,coverage
7414,with,
7415,buy,buy
7416,rating,rating
7417,pt,pt
7418,penn,penn
7419,national,national
7420,gaming,gaming
7421,inc,inc
7422,penn.o,penn.o
7423,jefferies,jefferies
7424,cuts,cuts
7425,target,target
7426,price,price
7427,to,
7428,from,
7429,penn,penn
7430,national,national
7431,gaming,gaming
7432,inc,inc
7433,penn.o,penn.o
7434,truist,truist
7435,securities,securities
7436,cuts,cuts
7437,target,target
7438,price,price
7439,to,
7440,from,
7441,pennantpark,pennantpark
7442,investment,investment
7443,corp,corp
7444,pnnt.n,pnnt.n
7445,jefferies,jefferies
7446,cuts,cuts
7447,target,target
7448,price,price
7449,to,
7450,from,
7451,pennymac,pennymac
7452,mortgage,mortgage
7453,investment,investment
7454,trust,trust
7455,pmt.n,pmt.n
7456,credit,credit
7457,suisse,suisse
7458,cuts,cuts
7459,pt,pt
7460,to,
7461,from,
7462,penumbra,penumbra
7463,inc,inc
7464,pen.n,pen.n
7465,truist,truist
7466,securities,securities
7467,cuts,cuts
7468,target,target
7469,price,price
7470,to,
7471,from,
7472,perficient,perficient
7473,inc,inc
7474,prft.o,prft.o
7475,jp,jp
7476,morgan,morgan
7477,cuts,cuts
7478,target,target
7479,price,price
7480,to,
7481,from,
7482,perkinelmer,perkinelmer
7483,inc,inc
7484,pki.n,pki.n
7485,ubs,ubs
7486,initiates,initiates
7487,coverage,coverage
7488,with,
7489,buy,buy
7490,rating,rating
7491,target,target
7492,price,price
7493,personalis,personalis
7494,inc,inc
7495,psnl.o,psnl.o
7496,bofa,bofa
7497,global,global
7498,research,research
7499,cuts,cuts
7500,price,price
7501,objective,objective
7502,to,
7503,from,
7504,pioneer,pioneer
7505,natural,natural
7506,resources,resources
7507,co,co
7508,pxd.n,pxd.n
7509,mkm,mkm
7510,partners,partners
7511,assumes,assumes
7512,with,
7513,buy,buy
7514,rating,rating
7515,pt,pt
7516,plains,plains
7517,all,
7518,american,american
7519,pipeline,pipeline
7520,lp,lp
7521,paa.o,paa.o
7522,barclays,barclays
7523,cuts,cuts
7524,target,target
7525,price,price
7526,to,
7527,from,
7528,plains,plains
7529,gp,gp
7530,holdings,holdings
7531,lp,lp
7532,pagp.o,pagp.o
7533,barclays,barclays
7534,cuts,cuts
7535,target,target
7536,price,price
7537,to,
7538,from,
7539,playags,playags
7540,inc,inc
7541,ags.n,ags.n
7542,jefferies,jefferies
7543,cuts,cuts
7544,target,target
